dataset,model,seed,params,flops,best_epoch,wall_sec,run_dir,val.n,val.acc,val.macro_f1,val.near_neutral_macro_f1,val.ece,val.mean_entropy,val.fnr,val.neutral_recall,val.neutral_f1,test.n,test.acc,test.macro_f1,test.near_neutral_macro_f1,test.ece,test.mean_entropy,test.fnr,test.neutral_recall,test.neutral_f1,ckplus.n,ckplus.acc,ckplus.macro_f1,ckplus.near_neutral_macro_f1,ckplus.ece,ckplus.mean_entropy,ckplus.fnr,ckplus.neutral_recall,ckplus.neutral_f1,val.nn_subset_n@0.2,val.nn_subset_acc@0.2,val.nn_subset_macro_f1@0.2,val.nn_subset_fnr@0.2,val.nn_subset_n@0.3,val.nn_subset_acc@0.3,val.nn_subset_macro_f1@0.3,val.nn_subset_fnr@0.3,val.nn_subset_n@0.4,val.nn_subset_acc@0.4,val.nn_subset_macro_f1@0.4,val.nn_subset_fnr@0.4,test.nn_subset_n@0.2,test.nn_subset_acc@0.2,test.nn_subset_macro_f1@0.2,test.nn_subset_fnr@0.2,test.nn_subset_n@0.3,test.nn_subset_acc@0.3,test.nn_subset_macro_f1@0.3,test.nn_subset_fnr@0.3,test.nn_subset_n@0.4,test.nn_subset_acc@0.4,test.nn_subset_macro_f1@0.4,test.nn_subset_fnr@0.4
fer2013,efficientface,0,1272832,79691000,36,1214.4258816242218,runs/fer2013/efficientface/seed0,3589,0.6798551128448036,0.6528457948398071,0.5662186719571469,0.06405606173685853,0.8184426196896872,0.09423205902079142,0.6803953871499177,0.6348962336664105,3589,0.7029813318473113,0.6939516386507009,0.6180013634058266,0.0452533774170498,0.8046206566049103,0.07897401282483969,0.7188498402555911,0.6870229007633588,927.0,0.7346278317152104,0.589545981232183,0.5549590309826766,0.08783695641279216,0.8765634287378321,0.07551240560949299,,,,,,,,,,,,,,,,,,,,,,,,,,
fer2013,efficientface,1,1272832,79691000,24,1218.5932250022888,runs/fer2013/efficientface/seed1,3589,0.6812482585678462,0.6597961222953262,0.5796226741783603,0.031526259452159276,0.944589443292336,0.0999329309188464,0.6869851729818781,0.6308623298033282,3589,0.6829200334354973,0.6623372993322135,0.5825930077756025,0.028623942478796387,0.9345651123391022,0.09584880188997638,0.7140575079872205,0.6588061901252763,927.0,0.6839266450916937,0.5319629054129862,0.4721102205888784,0.06983670082820193,0.9469158835893969,0.07227615965480043,,,,,,,,,,,,,,,,,,,,,,,,,,
fer2013,efficientface,2,1272832,79691000,31,1199.4363253116608,runs/fer2013/efficientface/seed2,3589,0.6831986625801059,0.6714441387340226,0.5980980517249137,0.04695604572806628,0.8469890924987146,0.09356136820925554,0.6622734761120264,0.6242236024844721,3589,0.6910002786291446,0.682635008428595,0.6092226102865972,0.043534678779941896,0.8389960864502596,0.08876139048261897,0.7140575079872205,0.6691616766467066,927.0,0.697950377562028,0.5670505010917614,0.5206767977953608,0.0671503538538563,0.9310232023338603,0.08522114347357065,,,,,,,,,,,,,,,,,,,,,,,,,,
fer2013,efficientface,3,1272832,79691000,30,1208.589195728302,runs/fer2013/efficientface/seed3,3589,0.6809696294232377,0.6595616357589743,0.5832023840231446,0.04374163731289378,0.8731679603177165,0.07813547954393024,0.6112026359143328,0.6127167630057804,3589,0.6898857620507105,0.6807010692333287,0.6057973969123607,0.04780951009675517,0.8668358444104208,0.07526155923050962,0.6613418530351438,0.6555819477434679,927.0,0.6914778856526429,0.5286245523563682,0.4457335953447684,0.0841321806166117,0.8142454391695255,0.06580366774541532,,,,,,,,,,,,,,,,,,,,,,,,,,
fer2013,efficientface,4,1272832,79691000,31,1216.4569869041443,runs/fer2013/efficientface/seed4,3589,0.689607132906102,0.6650692491631575,0.5820718842792495,0.04382274245717434,0.8388369186341633,0.09121395036887994,0.6754530477759473,0.6361520558572537,3589,0.6921147952075787,0.6920239162302279,0.620211441404459,0.05114005874903938,0.8289090861044857,0.08639892001349983,0.7172523961661342,0.6746806912096168,927.0,0.7238403451995685,0.5707118790165853,0.5160251964316629,0.03688354275704249,0.8781795319008779,0.06796116504854369,,,,,,,,,,,,,,,,,,,,,,,,,,
fer2013,microexpnet,0,84919,9784992,36,342.92312693595886,runs/fer2013/microexpnet/seed0,3589,0.5332961827807189,0.42921971614951754,0.268301750667831,0.08603252859713717,1.451817984799049,0.12474849094567404,0.5387149917627677,0.5007656967840735,3589,0.5330175536361104,0.4296781194153742,0.26148454079568706,0.0818883225814487,1.4438325795334386,0.11576105298683767,0.5702875399361023,0.5384615384615384,927.0,0.5469255663430421,0.3713577269515307,0.17468891008047635,0.11564316286299245,1.0687212455968158,0.2459546925566343,,,,,,,,,,,,,,,,,,,,,,,,,,
fer2013,microexpnet,1,84919,9784992,35,331.21160078048706,runs/fer2013/microexpnet/seed1,3589,0.5235441627194205,0.41261180902319655,0.2430013595767228,0.09331740838339321,1.484208309546353,0.1374916163648558,0.5453047775947282,0.4910979228486647,3589,0.5168570632488159,0.4090014505573319,0.23231894137757164,0.08114896671027268,1.4735394150738008,0.1262234222072224,0.5718849840255591,0.5272459499263623,927.0,0.5102481121898598,0.3174151719944812,0.09120934959349594,0.15642497050160123,1.0862225591064947,0.2405609492988134,,,,,,,,,,,,,,,,,,,,,,,,,,
fer2013,microexpnet,2,84919,9784992,36,337.00281739234924,runs/fer2013/microexpnet/seed2,3589,0.5274449707439398,0.4219467137884049,0.26221816739650894,0.08699855404124683,1.4704014240969163,0.12038900067069082,0.5189456342668863,0.4918032786885246,3589,0.5227082752855948,0.4149486440221774,0.24230182063373806,0.08378029557677512,1.4694366328788788,0.11778602767465407,0.5638977635782748,0.5316265060240963,927.0,0.5415318230852212,0.37170967851853304,0.18369178179746476,0.12097098182095588,1.0514401954833141,0.2308522114347357,,,,,,,,,,,,,,,,,,,,,,,,,,
fer2013,microexpnet,3,84919,9784992,32,338.969012260437,runs/fer2013/microexpnet/seed3,3589,0.5321816662022848,0.42790268532196274,0.26790967818791306,0.08547933494314744,1.4574295539456632,0.12374245472837023,0.5238879736408567,0.49149922720247297,3589,0.5346893285037615,0.43159046836976434,0.26484666081904285,0.08861502377303639,1.4562058313736659,0.1160985487681404,0.549520766773163,0.5235920852359208,927.0,0.5382955771305286,0.37018482196784036,0.17934214710826407,0.1378156406226511,1.0696859094883924,0.26429341963322545,,,,,,,,,,,,,,,,,,,,,,,,,,
fer2013,microexpnet,4,84919,9784992,30,341.1857645511627,runs/fer2013/microexpnet/seed4,3589,0.5140707718027305,0.4108848181908615,0.24129167407871777,0.09541382554798712,1.507721558575708,0.125083836351442,0.515650741350906,0.48414539829853054,3589,0.5129562552242964,0.4091337783212656,0.22701680313566278,0.08981125864822578,1.4992898912024357,0.12116098548768141,0.5527156549520766,0.5199098422238918,927.0,0.5091693635382956,0.3269539449777907,0.10493279931119605,0.15565602525823183,1.0864109534998547,0.2664509169363538,,,,,,,,,,,,,,,,,,,,,,,,,,
